player,round,hole,strokes,par,yds,score
"van Rookhuizen, Thijs",1,1,4,4,173,0
"van Rookhuizen, Thijs",1,2,4,4,211,0
"van Rookhuizen, Thijs",1,3,3,3,114,0
"van Rookhuizen, Thijs",1,4,3,4,185,-1
"van Rookhuizen, Thijs",1,5,4,4,159,0
"van Rookhuizen, Thijs",1,6,4,5,284,-1
"van Rookhuizen, Thijs",1,7,4,3,146,1
"van Rookhuizen, Thijs",1,8,4,5,242,-1
"van Rookhuizen, Thijs",1,9,3,4,168,-1
"van Rookhuizen, Thijs",1,10,5,5,183,0
"van Rookhuizen, Thijs",1,11,4,4,177,0
"van Rookhuizen, Thijs",1,12,4,4,193,0
"van Rookhuizen, Thijs",1,13,4,4,129,0
"van Rookhuizen, Thijs",1,14,2,3,104,-1
"van Rookhuizen, Thijs",1,15,4,4,209,0
"van Rookhuizen, Thijs",1,16,2,3,77,-1
"van Rookhuizen, Thijs",1,17,3,4,188,-1
"van Rookhuizen, Thijs",1,18,5,5,240,0
"Huber, Vincent",1,1,4,4,173,0
"Huber, Vincent",1,2,3,4,211,-1
"Huber, Vincent",1,3,3,3,114,0
"Huber, Vincent",1,4,4,4,185,0
"Huber, Vincent",1,5,3,4,159,-1
"Huber, Vincent",1,6,4,5,284,-1
"Huber, Vincent",1,7,4,3,146,1
"Huber, Vincent",1,8,3,5,242,-2
"Huber, Vincent",1,9,3,4,168,-1
"Huber, Vincent",1,10,4,5,183,-1
"Huber, Vincent",1,11,4,4,177,0
"Huber, Vincent",1,12,4,4,193,0
"Huber, Vincent",1,13,3,4,129,-1
"Huber, Vincent",1,14,3,3,104,0
"Huber, Vincent",1,15,4,4,209,0
"Huber, Vincent",1,16,3,3,77,0
"Huber, Vincent",1,17,3,4,188,-1
"Huber, Vincent",1,18,5,5,240,0
"van Bracht, Sam",1,1,4,4,173,0
"van Bracht, Sam",1,2,4,4,211,0
"van Bracht, Sam",1,3,3,3,114,0
"van Bracht, Sam",1,4,4,4,185,0
"van Bracht, Sam",1,5,3,4,159,-1
"van Bracht, Sam",1,6,4,5,284,-1
"van Bracht, Sam",1,7,4,3,146,1
"van Bracht, Sam",1,8,4,5,242,-1
"van Bracht, Sam",1,9,3,4,168,-1
"van Bracht, Sam",1,10,4,5,183,-1
"van Bracht, Sam",1,11,4,4,177,0
"van Bracht, Sam",1,12,5,4,193,1
"van Bracht, Sam",1,13,3,4,129,-1
"van Bracht, Sam",1,14,2,3,104,-1
"van Bracht, Sam",1,15,4,4,209,0
"van Bracht, Sam",1,16,3,3,77,0
"van Bracht, Sam",1,17,2,4,188,-2
"van Bracht, Sam",1,18,5,5,240,0
"Bartko, Tomas",1,1,4,4,173,0
"Bartko, Tomas",1,2,3,4,211,-1
"Bartko, Tomas",1,3,2,3,114,-1
"Bartko, Tomas",1,4,4,4,185,0
"Bartko, Tomas",1,5,4,4,159,0
"Bartko, Tomas",1,6,5,5,284,0
"Bartko, Tomas",1,7,3,3,146,0
"Bartko, Tomas",1,8,3,5,242,-2
"Bartko, Tomas",1,9,3,4,168,-1
"Bartko, Tomas",1,10,4,5,183,-1
"Bartko, Tomas",1,11,4,4,177,0
"Bartko, Tomas",1,12,4,4,193,0
"Bartko, Tomas",1,13,3,4,129,-1
"Bartko, Tomas",1,14,2,3,104,-1
"Bartko, Tomas",1,15,4,4,209,0
"Bartko, Tomas",1,16,3,3,77,0
"Bartko, Tomas",1,17,3,4,188,-1
"Bartko, Tomas",1,18,5,5,240,0
"Antonio, Balestra",1,1,4,4,173,0
"Antonio, Balestra",1,2,4,4,211,0
"Antonio, Balestra",1,3,3,3,114,0
"Antonio, Balestra",1,4,4,4,185,0
"Antonio, Balestra",1,5,4,4,159,0
"Antonio, Balestra",1,6,5,5,284,0
"Antonio, Balestra",1,7,4,3,146,1
"Antonio, Balestra",1,8,4,5,242,-1
"Antonio, Balestra",1,9,2,4,168,-2
"Antonio, Balestra",1,10,4,5,183,-1
"Antonio, Balestra",1,11,4,4,177,0
"Antonio, Balestra",1,12,4,4,193,0
"Antonio, Balestra",1,13,3,4,129,-1
"Antonio, Balestra",1,14,2,3,104,-1
"Antonio, Balestra",1,15,4,4,209,0
"Antonio, Balestra",1,16,2,3,77,-1
"Antonio, Balestra",1,17,3,4,188,-1
"Antonio, Balestra",1,18,5,5,240,0
"Mazzer, Fabio",1,1,4,4,173,0
"Mazzer, Fabio",1,2,3,4,211,-1
"Mazzer, Fabio",1,3,3,3,114,0
"Mazzer, Fabio",1,4,4,4,185,0
"Mazzer, Fabio",1,5,4,4,159,0
"Mazzer, Fabio",1,6,5,5,284,0
"Mazzer, Fabio",1,7,4,3,146,1
"Mazzer, Fabio",1,8,4,5,242,-1
"Mazzer, Fabio",1,9,3,4,168,-1
"Mazzer, Fabio",1,10,4,5,183,-1
"Mazzer, Fabio",1,11,4,4,177,0
"Mazzer, Fabio",1,12,4,4,193,0
"Mazzer, Fabio",1,13,3,4,129,-1
"Mazzer, Fabio",1,14,3,3,104,0
"Mazzer, Fabio",1,15,4,4,209,0
"Mazzer, Fabio",1,16,2,3,77,-1
"Mazzer, Fabio",1,17,3,4,188,-1
"Mazzer, Fabio",1,18,5,5,240,0
"Tammaro, Daniel",1,1,4,4,173,0
"Tammaro, Daniel",1,2,3,4,211,-1
"Tammaro, Daniel",1,3,3,3,114,0
"Tammaro, Daniel",1,4,4,4,185,0
"Tammaro, Daniel",1,5,3,4,159,-1
"Tammaro, Daniel",1,6,4,5,284,-1
"Tammaro, Daniel",1,7,4,3,146,1
"Tammaro, Daniel",1,8,4,5,242,-1
"Tammaro, Daniel",1,9,3,4,168,-1
"Tammaro, Daniel",1,10,4,5,183,-1
"Tammaro, Daniel",1,11,4,4,177,0
"Tammaro, Daniel",1,12,4,4,193,0
"Tammaro, Daniel",1,13,3,4,129,-1
"Tammaro, Daniel",1,14,2,3,104,-1
"Tammaro, Daniel",1,15,4,4,209,0
"Tammaro, Daniel",1,16,3,3,77,0
"Tammaro, Daniel",1,17,3,4,188,-1
"Tammaro, Daniel",1,18,6,5,240,1
"van den Broek, Wesley",1,1,4,4,173,0
"van den Broek, Wesley",1,2,3,4,211,-1
"van den Broek, Wesley",1,3,3,3,114,0
"van den Broek, Wesley",1,4,5,4,185,1
"van den Broek, Wesley",1,5,3,4,159,-1
"van den Broek, Wesley",1,6,4,5,284,-1
"van den Broek, Wesley",1,7,3,3,146,0
"van den Broek, Wesley",1,8,4,5,242,-1
"van den Broek, Wesley",1,9,3,4,168,-1
"van den Broek, Wesley",1,10,4,5,183,-1
"van den Broek, Wesley",1,11,4,4,177,0
"van den Broek, Wesley",1,12,3,4,193,-1
"van den Broek, Wesley",1,13,3,4,129,-1
"van den Broek, Wesley",1,14,2,3,104,-1
"van den Broek, Wesley",1,15,4,4,209,0
"van den Broek, Wesley",1,16,2,3,77,-1
"van den Broek, Wesley",1,17,3,4,188,-1
"van den Broek, Wesley",1,18,5,5,240,0
"Cedric, BONNOT",1,1,3,4,173,-1
"Cedric, BONNOT",1,2,5,4,211,1
"Cedric, BONNOT",1,3,2,3,114,-1
"Cedric, BONNOT",1,4,4,4,185,0
"Cedric, BONNOT",1,5,3,4,159,-1
"Cedric, BONNOT",1,6,3,5,284,-2
"Cedric, BONNOT",1,7,3,3,146,0
"Cedric, BONNOT",1,8,4,5,242,-1
"Cedric, BONNOT",1,9,4,4,168,0
"Cedric, BONNOT",1,10,4,5,183,-1
"Cedric, BONNOT",1,11,4,4,177,0
"Cedric, BONNOT",1,12,4,4,193,0
"Cedric, BONNOT",1,13,3,4,129,-1
"Cedric, BONNOT",1,14,3,3,104,0
"Cedric, BONNOT",1,15,4,4,209,0
"Cedric, BONNOT",1,16,3,3,77,0
"Cedric, BONNOT",1,17,3,4,188,-1
"Cedric, BONNOT",1,18,4,5,240,-1
"Garcia, Nicolas",1,1,4,4,173,0
"Garcia, Nicolas",1,2,4,4,211,0
"Garcia, Nicolas",1,3,3,3,114,0
"Garcia, Nicolas",1,4,4,4,185,0
"Garcia, Nicolas",1,5,4,4,159,0
"Garcia, Nicolas",1,6,4,5,284,-1
"Garcia, Nicolas",1,7,4,3,146,1
"Garcia, Nicolas",1,8,5,5,242,0
"Garcia, Nicolas",1,9,3,4,168,-1
"Garcia, Nicolas",1,10,3,5,183,-2
"Garcia, Nicolas",1,11,4,4,177,0
"Garcia, Nicolas",1,12,3,4,193,-1
"Garcia, Nicolas",1,13,3,4,129,-1
"Garcia, Nicolas",1,14,2,3,104,-1
"Garcia, Nicolas",1,15,4,4,209,0
"Garcia, Nicolas",1,16,3,3,77,0
"Garcia, Nicolas",1,17,3,4,188,-1
"Garcia, Nicolas",1,18,6,5,240,1
"Joeri, Jolling",1,1,4,4,173,0
"Joeri, Jolling",1,2,3,4,211,-1
"Joeri, Jolling",1,3,3,3,114,0
