player,round,hole,strokes,par,yds,score
"Cullum, Jamie",1,1,4,5,153,-1
"Cullum, Jamie",1,2,4,4,164,0
"Cullum, Jamie",1,3,5,4,202,1
"Cullum, Jamie",1,4,4,4,174,0
"Cullum, Jamie",1,5,3,3,99,0
"Cullum, Jamie",1,6,3,4,137,-1
"Cullum, Jamie",1,7,3,3,89,0
"Cullum, Jamie",1,8,4,3,76,1
"Cullum, Jamie",1,9,2,5,167,-3
"Cullum, Jamie",1,10,4,4,198,0
"Cullum, Jamie",1,11,2,4,178,-2
"Cullum, Jamie",1,12,4,5,216,-1
"Cullum, Jamie",1,13,3,4,273,-1
"Cullum, Jamie",1,14,4,4,193,0
"Cullum, Jamie",1,15,3,4,181,-1
"Cullum, Jamie",1,16,3,4,165,-1
"Cullum, Jamie",1,17,3,4,175,-1
"Cullum, Jamie",1,18,5,3,64,2
"Simoes, Frédéric",1,1,5,5,153,0
"Simoes, Frédéric",1,2,4,4,164,0
"Simoes, Frédéric",1,3,5,4,202,1
"Simoes, Frédéric",1,4,4,4,174,0
"Simoes, Frédéric",1,5,3,3,99,0
"Simoes, Frédéric",1,6,3,4,137,-1
"Simoes, Frédéric",1,7,3,3,89,0
"Simoes, Frédéric",1,8,3,3,76,0
"Simoes, Frédéric",1,9,5,5,167,0
"Simoes, Frédéric",1,10,4,4,198,0
"Simoes, Frédéric",1,11,3,4,178,-1
"Simoes, Frédéric",1,12,5,5,216,0
"Simoes, Frédéric",1,13,3,4,273,-1
"Simoes, Frédéric",1,14,3,4,193,-1
"Simoes, Frédéric",1,15,4,4,181,0
"Simoes, Frédéric",1,16,4,4,165,0
"Simoes, Frédéric",1,17,3,4,175,-1
"Simoes, Frédéric",1,18,3,3,64,0
"Jacot, Lionel",1,1,4,5,153,-1
"Jacot, Lionel",1,2,4,4,164,0
"Jacot, Lionel",1,3,4,4,202,0
"Jacot, Lionel",1,4,4,4,174,0
"Jacot, Lionel",1,5,2,3,99,-1
"Jacot, Lionel",1,6,3,4,137,-1
"Jacot, Lionel",1,7,3,3,89,0
"Jacot, Lionel",1,8,4,3,76,1
